0,1,2,3,4,5,6
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
股票,股票,股票,股票,股票,股票,股票
1101　台泥,TW0001101004,1962/02/09,上市,水泥工業,ESVUFR,
1102　亞泥,TW0001102002,1962/06/08,上市,水泥工業,ESVUFR,
1103　嘉泥,TW0001103000,1969/11/14,上市,水泥工業,ESVUFR,
1104　環泥,TW0001104008,1971/02/01,上市,水泥工業,ESVUFR,
1108　幸福,TW0001108009,1990/06/06,上市,水泥工業,ESVUFR,
1109　信大,TW0001109007,1991/12/05,上市,水泥工業,ESVUFR,
1110　東泥,TW0001110005,1994/10/22,上市,水泥工業,ESVUFR,
1201　味全,TW0001201002,1962/02/09,上市,食品工業,ESVUFR,
1203　味王,TW0001203008,1964/08/24,上市,食品工業,ESVUFR,
1210　大成,TW0001210003,1978/05/20,上市,食品工業,ESVUFR,
1213　大飲,TW0001213007,1981/04/10,上市,食品工業,ESVUFR,
1215　卜蜂,TW0001215002,1987/07/27,上市,食品工業,ESVUFR,
1216　統一,TW0001216000,1987/12/28,上市,食品工業,ESVUFR,
1217　愛之味,TW0001217008,1989/10/28,上市,食品工業,ESVUFR,
1218　泰山,TW0001218006,1989/11/11,上市,食品工業,ESVUFR,
1219　福壽,TW0001219004,1990/12/01,上市,食品工業,ESVUFR,
1220　台榮,TW0001220002,1991/11/20,上市,食品工業,ESVUFR,
1225　福懋油,TW0001225001,1993/09/27,上市,食品工業,ESVUFR,
1227　佳格,TW0001227007,1994/04/09,上市,食品工業,ESVUFR,
1229　聯華,TW0001229003,1976/07/19,上市,食品工業,ESVUFR,
1231　聯華食,TW0001231009,1995/11/02,上市,食品工業,ESVUFR,
1232　大統益,TW0001232007,1996/02/09,上市,食品工業,ESVUFR,
1233　天仁,TW0001233005,1999/01/20,上市,食品工業,ESVUFR,
1234　黑松,TW0001234003,1999/03/12,上市,食品工業,ESVUFR,
1235　興泰,TW0001235000,2000/09/11,上市,食品工業,ESVUFR,
1236　宏亞,TW0001236008,2001/09/17,上市,食品工業,ESVUFR,
1256　鮮活果汁-KY,KYG858681003,2016/03/17,上市,食品工業,ESVUFR,
1301　台塑,TW0001301000,1964/07/27,上市,塑膠工業,ESVUFR,
1303　南亞,TW0001303006,1967/11/05,上市,塑膠工業,ESVUFR,
1304　台聚,TW0001304004,1972/05/20,上市,塑膠工業,ESVUFR,
1305　華夏,TW0001305001,1973/03/05,上市,塑膠工業,ESVUFR,
1307　三芳,TW0001307007,1985/11/23,上市,塑膠工業,ESVUFR,
1308　亞聚,TW0001308005,1986/06/20,上市,塑膠工業,ESVUFR,
1309　台達化,TW0001309003,1986/06/27,上市,塑膠工業,ESVUFR,
1310　台苯,TW0001310001,1987/08/06,上市,塑膠工業,ESVUFR,
1312　國喬,TW0001312007,1988/12/21,上市,塑膠工業,ESVUFR,
1313　聯成,TW0001313005,1989/03/27,上市,塑膠工業,ESVUFR,
1314　中石化,TW0001314003,1991/07/12,上市,塑膠工業,ESVUFR,
